Date,Pair,Direction,Type,Score,Result,Entry,Close,SL,TP,RR,R_Result,Duration,PKT_Open,PKT_Close,Session,Macro,MTF15m,News,ATR,Notes
2026-02-28T00:36:22.820Z,XAU/USD,BUY,INTRADAY,69,SL,5278,,5276.79,5280.18,1.8,,,,,5,BULLISH,12,,0.61,
2026-02-28T01:09:22.396Z,XAU/USD,BUY,SCALP,73,SL,5277.98,,5277.85,5278.18,1.5,,,,,5,BULLISH,12,,0.17,
2026-02-28T01:29:22.655Z,XAU/USD,BUY,SCALP,73,SL,5277.99,,5277.85,5278.19,1.5,,,,,5,BULLISH,12,,0.17,
2026-02-28T01:36:41.160Z,ETH/USD,SELL,INTRADAY,71,SL,1921,,1929.5,1905.6,1.8,,,,,5,BEARISH,12,,4.3,
2026-02-28T01:45:34.387Z,BTC/USD,SELL,INTRADAY,70,SL,65791,,65994,65426,1.8,,,,,5,BEARISH,4,,101,
2026-02-28T02:11:17.525Z,ETH/USD,SELL,INTRADAY,79,SL,1926.3,,1933.6,1913.2,1.8,,,,,5,BEARISH,12,,3.6,
2026-02-28T02:13:59.635Z,XAU/USD,BUY,SCALP,67,TP,5277.91,,5277.79,5278.1,1.5,,,,,5,BULLISH,12,,0.16,
2026-02-28T02:19:00.151Z,XAU/USD,BUY,INTRADAY,77,SL,5278,,5277.33,5279.2,1.8,,,,,5,BULLISH,12,,0.33,
2026-02-28T02:34:00.561Z,XAU/USD,BUY,SCALP,77,SL,5277.93,,5277.81,5278.12,1.5,,,,,5,BULLISH,12,,0.16,
2026-02-28T02:53:59.457Z,XAU/USD,BUY,SCALP,77,SL,5277.94,,5277.82,5278.13,1.5,,,,,5,BULLISH,12,,0.16,
2026-02-28T03:46:19.840Z,ETH/USD,SELL,INTRADAY,71,SL,1923,,1928.6,1912.8,1.8,,,,,5,BEARISH,12,,2.8,
2026-02-28T03:50:10.971Z,BTC/USD,SELL,SCALP,64,SL,65806,,65828,65772,1.5,,,,,5,BEARISH,4,,28,
2026-02-28T03:54:00.414Z,XAU/USD,BUY,SCALP,77,TP,5277.96,,5277.83,5278.16,1.5,,,,,5,BULLISH,12,,0.16,
2026-03-01T00:02:16.064Z,EUR/USD,BUY,INTRADAY,69,SL,1.18168,,1.18156,1.1819,1.8,,,,,5,BULLISH,12,,0.00006,
